age,height_cm,weight_kg,gender,activity_level,goal,bmi,calories,diet_type,workout_type
29,152,71,Female,Active,Fat Loss,30.73,2072,Low Carb,Intense
36,171,60,Male,Sedentary,Muscle Gain,20.52,2092,High Protein,Moderate
31,185,73,Female,Active,Maintain,21.33,2983,Balanced,Moderate
38,180,52,Male,Active,Muscle Gain,16.05,3074,High Protein,Light
47,152,56,Male,Sedentary,Muscle Gain,24.24,1836,High Protein,Moderate
45,155,57,Male,Moderate,Fat Loss,23.73,1544,Low Carb,Moderate
29,190,57,Male,Active,Maintain,15.79,3073,Balanced,Light
28,184,93,Male,Sedentary,Maintain,27.47,2334,Balanced,Moderate
35,173,46,Male,Moderate,Maintain,15.37,2125,Balanced,Light
47,190,77,Male,Sedentary,Fat Loss,21.33,1573,Low Carb,Moderate
21,153,48,Male,Sedentary,Muscle Gain,20.5,1903,High Protein,Moderate
19,175,56,Male,Active,Fat Loss,18.29,2471,Low Carb,Moderate
20,162,50,Male,Moderate,Fat Loss,19.05,1697,Low Carb,Moderate
48,157,51,Male,Sedentary,Muscle Gain,20.69,1807,High Protein,Moderate
20,152,106,Female,Sedentary,Maintain,45.88,2098,Balanced,Moderate
23,187,55,Male,Active,Muscle Gain,15.73,3356,High Protein,Light
47,184,93,Male,Active,Maintain,27.47,3515,Balanced,Moderate
35,153,88,Male,Active,Maintain,37.59,3165,Balanced,Moderate
27,190,66,Male,Sedentary,Fat Loss,18.28,1561,Low Carb,Moderate
23,185,101,Female,Sedentary,Fat Loss,29.51,1768,Low Carb,Intense
28,174,96,Male,Moderate,Maintain,31.71,2964,Balanced,Moderate
32,158,88,Male,Active,Maintain,35.25,3253,Balanced,Moderate
49,178,90,Male,Sedentary,Maintain,28.41,2127,Balanced,Moderate
24,170,71,Male,Moderate,Muscle Gain,24.57,2869,High Protein,Moderate
21,157,104,Female,Sedentary,Fat Loss,42.19,1606,Low Carb,Intense
30,180,101,Female,Moderate,Muscle Gain,31.17,3127,High Protein,Moderate
46,175,50,Male,Sedentary,Maintain,16.33,1642,Balanced,Light
25,183,76,Female,Sedentary,Muscle Gain,22.69,2241,High Protein,Moderate
23,176,88,Female,Sedentary,Fat Loss,28.41,1544,Low Carb,Intense
26,154,56,Female,Active,Muscle Gain,23.61,2639,High Protein,Moderate
39,172,54,Male,Active,Maintain,18.25,2707,Balanced,Moderate
45,177,58,Male,Moderate,Fat Loss,18.51,1772,Low Carb,Moderate
25,165,54,Female,Moderate,Fat Loss,19.83,1492,Low Carb,Moderate
39,161,62,Female,Moderate,Fat Loss,23.92,1468,Low Carb,Moderate
24,172,55,Female,Sedentary,Fat Loss,18.59,1112,Low Carb,Moderate
40,162,83,Female,Moderate,Fat Loss,31.63,1796,Low Carb,Intense
46,189,51,Female,Active,Fat Loss,14.28,1970,Low Carb,Light
36,150,63,Male,Active,Muscle Gain,28.0,2945,High Protein,Moderate
31,153,47,Female,Moderate,Fat Loss,20.08,1220,Low Carb,Moderate
36,159,50,Male,Moderate,Maintain,19.78,2044,Balanced,Moderate
19,165,110,Female,Sedentary,Muscle Gain,40.4,2550,High Protein,Moderate
26,188,65,Female,Active,Fat Loss,18.39,2414,Low Carb,Moderate
47,164,45,Male,Moderate,Maintain,16.73,1929,Balanced,Light
21,179,64,Male,Moderate,Muscle Gain,19.97,2871,High Protein,Moderate
39,177,54,Male,Active,Maintain,17.24,2766,Balanced,Light
34,185,86,Female,Sedentary,Muscle Gain,25.13,2322,High Protein,Moderate
26,155,54,Male,Sedentary,Maintain,22.48,1660,Balanced,Moderate
21,175,109,Female,Active,Maintain,35.59,3643,Balanced,Moderate
36,180,60,Female,Moderate,Fat Loss,18.52,1645,Low Carb,Moderate
36,190,97,Male,Active,Maintain,26.87,3766,Balanced,Moderate
41,182,60,Male,Sedentary,Fat Loss,18.11,1345,Low Carb,Moderate
41,186,66,Male,Moderate,Maintain,19.08,2514,Balanced,Moderate
32,168,56,Female,Active,Fat Loss,19.84,1949,Low Carb,Moderate
21,179,56,Male,Moderate,Fat Loss,17.48,1947,Low Carb,Light
48,163,83,Female,Active,Maintain,31.24,2750,Balanced,Moderate
19,168,100,Male,Moderate,Fat Loss,35.43,2538,Low Carb,Intense
40,150,105,Female,Moderate,Muscle Gain,46.67,2821,High Protein,Moderate
44,179,86,Female,Moderate,Maintain,26.84,2476,Balanced,Moderate
48,180,74,Female,Sedentary,Maintain,22.84,1756,Balanced,Moderate
33,163,63,Male,Active,Muscle Gain,23.71,3128,High Protein,Moderate
44,164,81,Male,Active,Maintain,30.12,3078,Balanced,Moderate
44,156,90,Male,Moderate,Muscle Gain,36.98,2873,High Protein,Moderate
34,160,54,Female,Sedentary,Maintain,21.09,1450,Balanced,Moderate
28,190,83,Female,Active,Fat Loss,22.99,2761,Low Carb,Moderate
42,188,58,Female,Active,Fat Loss,16.41,2129,Low Carb,Light
46,158,100,Female,Moderate,Maintain,40.06,2474,Balanced,Moderate
26,156,66,Female,Sedentary,Fat Loss,27.12,1112,Low Carb,Intense
19,166,45,Female,Moderate,Maintain,16.33,1908,Balanced,Light
50,187,96,Male,Active,Fat Loss,27.45,3079,Low Carb,Intense
31,185,64,Male,Sedentary,Fat Loss,18.7,1475,Low Carb,Moderate
34,175,56,Male,Active,Fat Loss,18.29,2328,Low Carb,Moderate
35,155,109,Male,Moderate,Maintain,45.37,2927,Balanced,Moderate
21,185,94,Male,Sedentary,Fat Loss,27.47,1895,Low Carb,Intense
23,156,89,Male,Active,Muscle Gain,36.57,3634,High Protein,Moderate
43,181,95,Female,Moderate,Muscle Gain,29.0,2943,High Protein,Moderate
38,174,84,Female,Sedentary,Fat Loss,27.74,1391,Low Carb,Intense
46,157,71,Female,Moderate,Muscle Gain,28.8,2315,High Protein,Moderate
37,186,84,Female,Moderate,Muscle Gain,24.28,2867,High Protein,Moderate
38,183,82,Male,Sedentary,Muscle Gain,24.49,2434,High Protein,Moderate
29,151,73,Female,Moderate,Fat Loss,32.02,1620,Low Carb,Intense
46,152,73,Female,Active,Maintain,31.6,2449,Balanced,Moderate
50,156,94,Female,Moderate,Fat Loss,38.63,1831,Low Carb,Intense
45,164,45,Male,Sedentary,Fat Loss,16.73,1006,Low Carb,Light
26,171,54,Female,Sedentary,Muscle Gain,18.47,1881,High Protein,Moderate
29,187,57,Male,Moderate,Fat Loss,16.3,1978,Low Carb,Light
42,168,102,Female,Active,Fat Loss,36.14,2728,Low Carb,Intense
22,189,76,Female,Active,Muscle Gain,21.28,3473,High Protein,Moderate
33,183,51,Male,Sedentary,Muscle Gain,15.23,2092,High Protein,Light
33,159,59,Female,Sedentary,Fat Loss,23.34,1009,Low Carb,Moderate
50,171,77,Female,Sedentary,Maintain,26.33,1713,Balanced,Moderate
29,186,97,Female,Moderate,Muscle Gain,28.04,3131,High Protein,Moderate
32,150,75,Male,Active,Muscle Gain,33.33,3211,High Protein,Moderate
34,157,93,Female,Active,Muscle Gain,37.73,3302,High Protein,Moderate
46,158,59,Male,Active,Fat Loss,23.63,2069,Low Carb,Moderate
42,180,60,Female,Moderate,Muscle Gain,18.52,2398,High Protein,Moderate
19,155,106,Male,Moderate,Maintain,44.12,3005,Balanced,Moderate
31,153,87,Male,Sedentary,Maintain,37.17,2011,Balanced,Moderate
23,184,86,Female,Moderate,Fat Loss,25.4,2187,Low Carb,Intense
37,162,59,Male,Active,Maintain,22.48,2702,Balanced,Moderate
39,161,103,Female,Moderate,Fat Loss,39.74,2104,Low Carb,Intense
47,151,87,Female,Active,Fat Loss,38.16,2193,Low Carb,Intense
26,155,61,Male,Sedentary,Fat Loss,25.39,1244,Low Carb,Intense
45,165,80,Female,Sedentary,Fat Loss,29.38,1234,Low Carb,Intense
21,184,83,Female,Sedentary,Maintain,24.52,2056,Balanced,Moderate
24,178,97,Male,Sedentary,Muscle Gain,30.61,2661,High Protein,Moderate
37,185,94,Male,Active,Maintain,27.47,3640,Balanced,Moderate
27,152,101,Female,Moderate,Muscle Gain,43.72,2879,High Protein,Moderate
46,183,74,Male,Sedentary,Muscle Gain,22.1,2290,High Protein,Moderate
21,150,48,Male,Active,Fat Loss,21.33,2003,Low Carb,Moderate
19,181,80,Male,Moderate,Maintain,24.42,2853,Balanced,Moderate
24,170,76,Male,Active,Fat Loss,26.3,2744,Low Carb,Intense
41,154,110,Female,Moderate,Fat Loss,46.38,2129,Low Carb,Intense
45,187,59,Male,Moderate,Fat Loss,16.87,1885,Low Carb,Light
32,183,89,Male,Active,Maintain,26.58,3569,Balanced,Moderate
36,180,68,Male,Sedentary,Muscle Gain,20.99,2256,High Protein,Moderate
44,166,68,Female,Active,Muscle Gain,24.68,2839,High Protein,Moderate
37,175,101,Female,Sedentary,Muscle Gain,32.98,2409,High Protein,Moderate
46,171,107,Male,Moderate,Maintain,36.59,2966,Balanced,Moderate
32,183,86,Female,Sedentary,Fat Loss,25.68,1519,Low Carb,Intense
18,173,49,Female,Active,Muscle Gain,16.37,2808,High Protein,Light
34,171,82,Female,Moderate,Fat Loss,28.04,1914,Low Carb,Intense
41,176,55,Female,Active,Maintain,17.76,2439,Balanced,Light
50,159,64,Female,Sedentary,Fat Loss,25.32,967,Low Carb,Intense
36,175,87,Male,Moderate,Muscle Gain,28.41,3072,High Protein,Moderate
36,155,107,Female,Active,Maintain,44.54,3225,Balanced,Moderate
28,166,101,Male,Moderate,Maintain,36.65,2964,Balanced,Moderate
34,180,71,Female,Active,Muscle Gain,21.91,3157,High Protein,Moderate
19,185,58,Female,Moderate,Fat Loss,16.95,1794,Low Carb,Light
33,162,82,Female,Moderate,Fat Loss,31.25,1835,Low Carb,Intense
33,156,103,Female,Active,Muscle Gain,42.32,3490,High Protein,Moderate
21,163,94,Male,Active,Muscle Gain,35.38,3831,High Protein,Moderate
46,156,58,Male,Sedentary,Maintain,23.83,1596,Balanced,Moderate
48,159,64,Male,Active,Muscle Gain,25.32,2957,High Protein,Moderate
45,185,60,Male,Active,Fat Loss,17.53,2418,Low Carb,Light
35,180,92,Male,Moderate,Muscle Gain,28.4,3206,High Protein,Moderate
36,152,77,Female,Sedentary,Fat Loss,33.33,1154,Low Carb,Intense
41,165,108,Female,Active,Fat Loss,39.67,2815,Low Carb,Intense
18,189,54,Female,Sedentary,Maintain,15.12,1764,Balanced,Light
31,152,77,Male,Moderate,Fat Loss,33.33,1933,Low Carb,Intense
49,190,77,Male,Active,Muscle Gain,21.33,3563,High Protein,Moderate
24,158,100,Female,Moderate,Maintain,40.06,2645,Balanced,Moderate
48,183,91,Female,Moderate,Maintain,27.17,2561,Balanced,Moderate
27,175,109,Female,Moderate,Fat Loss,35.59,2426,Low Carb,Intense
50,167,51,Male,Sedentary,Fat Loss,18.29,1070,Low Carb,Moderate
19,175,66,Male,Moderate,Maintain,21.55,2578,Balanced,Moderate
23,166,81,Female,Moderate,Maintain,29.39,2435,Balanced,Moderate
48,176,71,Female,Sedentary,Maintain,22.92,1690,Balanced,Moderate
24,169,63,Male,Sedentary,Muscle Gain,22.06,2185,High Protein,Moderate
20,151,66,Male,Moderate,Maintain,28.95,2338,Balanced,Moderate
49,158,104,Male,Active,Muscle Gain,41.66,3696,High Protein,Moderate
50,168,75,Female,Moderate,Fat Loss,26.57,1652,Low Carb,Intense
19,174,82,Male,Moderate,Maintain,27.08,2817,Balanced,Moderate
28,180,100,Female,Sedentary,Maintain,30.86,2188,Balanced,Moderate
35,184,106,Female,Sedentary,Fat Loss,31.31,1748,Low Carb,Intense
41,190,101,Female,Moderate,Muscle Gain,27.98,3138,High Protein,Moderate
31,184,84,Female,Sedentary,Muscle Gain,24.81,2308,High Protein,Moderate
38,178,79,Female,Sedentary,Maintain,24.93,1861,Balanced,Moderate
27,189,100,Male,Moderate,Muscle Gain,27.99,3479,High Protein,Moderate
19,154,101,Male,Moderate,Muscle Gain,42.59,3217,High Protein,Moderate
44,189,94,Female,Active,Maintain,26.32,3306,Balanced,Moderate
24,187,95,Female,Moderate,Fat Loss,27.17,2348,Low Carb,Intense
22,170,64,Male,Sedentary,Maintain,22.15,1917,Balanced,Moderate
49,156,76,Female,Sedentary,Muscle Gain,31.23,1894,High Protein,Moderate
31,169,59,Male,Moderate,Muscle Gain,20.66,2619,High Protein,Moderate
28,164,91,Male,Active,Fat Loss,33.83,2920,Low Carb,Intense
48,168,62,Female,Sedentary,Muscle Gain,21.97,1822,High Protein,Moderate
33,156,103,Male,Sedentary,Muscle Gain,42.32,2514,High Protein,Moderate
37,169,50,Female,Active,Muscle Gain,17.51,2599,High Protein,Light
43,173,110,Male,Sedentary,Muscle Gain,36.75,2665,High Protein,Moderate
49,150,92,Female,Sedentary,Muscle Gain,40.89,2041,High Protein,Moderate
31,183,81,Male,Active,Maintain,24.19,3427,Balanced,Moderate
36,159,92,Male,Sedentary,Maintain,36.39,2086,Balanced,Moderate
38,157,56,Male,Moderate,Maintain,22.72,2102,Balanced,Moderate
46,157,65,Female,Moderate,Fat Loss,26.37,1422,Low Carb,Intense
36,186,53,Male,Moderate,Fat Loss,15.32,1852,Low Carb,Light
48,176,70,Male,Active,Maintain,22.6,2973,Balanced,Moderate
37,175,84,Female,Sedentary,Maintain,27.43,1905,Balanced,Moderate
31,173,108,Female,Moderate,Maintain,36.09,2860,Balanced,Moderate
30,175,74,Male,Moderate,Maintain,24.16,2617,Balanced,Moderate
24,176,54,Male,Active,Maintain,17.43,2897,Balanced,Light
46,176,53,Female,Moderate,Fat Loss,17.11,1420,Low Carb,Light
33,174,70,Male,Sedentary,Muscle Gain,23.12,2253,High Protein,Moderate
21,166,75,Male,Sedentary,Maintain,27.22,2025,Balanced,Moderate
22,166,109,Male,Active,Maintain,39.56,3842,Balanced,Moderate
28,163,72,Female,Moderate,Fat Loss,27.1,1728,Low Carb,Intense
36,183,55,Female,Active,Maintain,16.42,2570,Balanced,Light
24,163,53,Female,Sedentary,Maintain,19.95,1521,Balanced,Moderate
21,164,75,Male,Active,Maintain,27.89,3182,Balanced,Moderate
43,159,61,Male,Active,Muscle Gain,24.13,2948,High Protein,Moderate
46,177,56,Male,Active,Fat Loss,17.87,2238,Low Carb,Light
21,184,94,Male,Active,Muscle Gain,27.76,4081,High Protein,Moderate
48,165,79,Male,Moderate,Muscle Gain,29.02,2758,High Protein,Moderate
28,176,47,Male,Active,Muscle Gain,15.17,3026,High Protein,Light
27,170,69,Male,Sedentary,Fat Loss,23.88,1447,Low Carb,Moderate
47,167,75,Male,Sedentary,Fat Loss,26.89,1376,Low Carb,Intense
30,163,67,Male,Moderate,Maintain,25.22,2392,Balanced,Moderate
46,161,107,Female,Sedentary,Maintain,41.28,2022,Balanced,Moderate
35,184,82,Female,Sedentary,Fat Loss,24.22,1460,Low Carb,Moderate
49,160,51,Female,Sedentary,Fat Loss,19.92,824,Low Carb,Moderate
46,176,54,Female,Moderate,Muscle Gain,17.43,2235,High Protein,Light
30,190,80,Male,Moderate,Muscle Gain,22.16,3155,High Protein,Moderate
42,167,86,Male,Moderate,Fat Loss,30.84,2133,Low Carb,Intense
35,186,98,Female,Moderate,Maintain,28.33,2800,Balanced,Moderate
34,159,90,Female,Sedentary,Muscle Gain,35.6,2175,High Protein,Moderate
36,156,80,Female,Active,Fat Loss,32.87,2224,Low Carb,Intense
41,167,50,Female,Active,Muscle Gain,17.93,2537,High Protein,Light
31,177,59,Male,Moderate,Muscle Gain,18.83,2696,High Protein,Moderate
35,169,65,Female,Active,Fat Loss,22.76,2103,Low Carb,Moderate
28,156,90,Female,Sedentary,Maintain,36.98,1888,Balanced,Moderate
37,184,73,Male,Moderate,Maintain,21.56,2635,Balanced,Moderate
40,165,110,Female,Sedentary,Fat Loss,40.4,1624,Low Carb,Intense
48,163,101,Female,Moderate,Muscle Gain,38.01,2823,High Protein,Moderate
43,167,92,Male,Active,Fat Loss,32.99,2832,Low Carb,Intense
30,184,99,Female,Active,Fat Loss,29.24,2975,Low Carb,Intense
35,153,64,Male,Active,Muscle Gain,27.34,3009,High Protein,Moderate
25,155,86,Female,Active,Fat Loss,35.8,2431,Low Carb,Intense
25,182,58,Male,Sedentary,Muscle Gain,17.51,2217,High Protein,Light
44,176,106,Male,Sedentary,Muscle Gain,34.22,2634,High Protein,Moderate
24,165,92,Female,Moderate,Fat Loss,33.79,2088,Low Carb,Intense
18,183,63,Female,Moderate,Maintain,18.81,2360,Balanced,Moderate
25,173,102,Male,Active,Maintain,34.08,3764,Balanced,Moderate
42,185,81,Female,Moderate,Fat Loss,23.67,1972,Low Carb,Moderate
36,170,79,Male,Active,Maintain,27.34,3187,Balanced,Moderate
49,185,79,Female,Active,Fat Loss,23.08,2426,Low Carb,Moderate
26,181,108,Male,Sedentary,Maintain,32.97,2503,Balanced,Moderate
27,163,74,Male,Sedentary,Fat Loss,27.85,1454,Low Carb,Intense
29,152,65,Female,Active,Fat Loss,28.13,1958,Low Carb,Intense
30,168,55,Female,Active,Fat Loss,19.49,1949,Low Carb,Moderate
35,178,63,Female,Moderate,Fat Loss,19.88,1680,Low Carb,Moderate
36,177,92,Male,Moderate,Muscle Gain,29.37,3169,High Protein,Moderate
27,158,70,Female,Active,Maintain,28.04,2643,Balanced,Moderate
22,179,71,Female,Moderate,Maintain,22.16,2414,Balanced,Moderate
32,183,78,Male,Sedentary,Maintain,23.29,2122,Balanced,Moderate
29,166,72,Female,Moderate,Muscle Gain,26.13,2549,High Protein,Moderate
40,162,109,Female,Active,Maintain,41.53,3308,Balanced,Moderate
29,163,105,Female,Sedentary,Muscle Gain,39.52,2415,High Protein,Moderate
50,165,98,Female,Active,Maintain,36.0,3040,Balanced,Moderate
20,185,102,Male,Sedentary,Fat Loss,29.8,1997,Low Carb,Intense
44,169,71,Female,Sedentary,Muscle Gain,24.86,1962,High Protein,Moderate
48,153,102,Male,Sedentary,Maintain,43.57,2089,Balanced,Moderate
30,177,61,Male,Sedentary,Muscle Gain,19.47,2185,High Protein,Moderate
36,189,49,Female,Moderate,Muscle Gain,13.72,2361,High Protein,Light
33,186,62,Male,Moderate,Fat Loss,17.92,2014,Low Carb,Light
33,166,109,Female,Active,Fat Loss,39.56,2922,Low Carb,Intense
26,151,73,Male,Sedentary,Muscle Gain,32.02,2158,High Protein,Moderate
43,164,51,Female,Sedentary,Muscle Gain,18.96,1690,High Protein,Moderate
41,187,72,Female,Sedentary,Muscle Gain,20.59,2127,High Protein,Moderate
38,185,107,Female,Moderate,Fat Loss,31.26,2406,Low Carb,Intense
24,183,90,Female,Moderate,Maintain,26.87,2732,Balanced,Moderate
34,185,55,Female,Moderate,Maintain,16.07,2131,Balanced,Light
47,172,89,Female,Active,Maintain,30.08,2981,Balanced,Moderate
44,189,63,Male,Sedentary,Maintain,17.64,1915,Balanced,Light
36,161,96,Female,Active,Maintain,37.04,3087,Balanced,Moderate
48,153,79,Male,Sedentary,Maintain,33.75,1813,Balanced,Moderate
22,185,87,Male,Sedentary,Muscle Gain,25.42,2605,High Protein,Moderate
38,164,107,Male,Sedentary,Fat Loss,39.78,1792,Low Carb,Intense
22,150,106,Male,Active,Muscle Gain,47.11,3895,High Protein,Moderate
41,156,56,Male,Active,Maintain,23.01,2536,Balanced,Moderate
40,189,64,Male,Sedentary,Muscle Gain,17.92,2251,High Protein,Light
35,165,56,Male,Active,Maintain,20.57,2700,Balanced,Moderate
34,179,71,Male,Moderate,Muscle Gain,22.16,2878,High Protein,Moderate
34,166,60,Female,Active,Muscle Gain,21.77,2782,High Protein,Moderate
49,181,58,Female,Active,Maintain,17.7,2479,Balanced,Light
47,164,58,Female,Active,Muscle Gain,21.56,2597,High Protein,Moderate
28,179,108,Male,Moderate,Maintain,33.71,3198,Balanced,Moderate
21,151,83,Female,Active,Fat Loss,36.4,2364,Low Carb,Intense
42,176,94,Male,Moderate,Maintain,30.35,2844,Balanced,Moderate
39,168,99,Female,Sedentary,Maintain,35.08,2020,Balanced,Moderate
29,178,102,Male,Active,Maintain,32.19,3785,Balanced,Moderate
45,183,71,Male,Moderate,Muscle Gain,21.2,2832,High Protein,Moderate
42,182,71,Male,Moderate,Fat Loss,21.43,2045,Low Carb,Moderate
37,169,84,Female,Active,Fat Loss,29.41,2445,Low Carb,Intense
23,177,47,Male,Active,Fat Loss,15.0,2285,Low Carb,Light
41,170,107,Male,Moderate,Maintain,37.02,2995,Balanced,Moderate
31,150,56,Male,Moderate,Fat Loss,24.89,1588,Low Carb,Moderate
33,150,80,Female,Active,Fat Loss,35.56,2181,Low Carb,Intense
29,153,106,Female,Active,Fat Loss,45.28,2749,Low Carb,Intense
50,165,59,Female,Active,Fat Loss,21.67,1799,Low Carb,Moderate
36,155,55,Female,Sedentary,Muscle Gain,22.89,1713,High Protein,Moderate
32,184,61,Female,Moderate,Maintain,18.02,2230,Balanced,Moderate
30,181,66,Female,Moderate,Maintain,20.15,2294,Balanced,Moderate
33,171,89,Female,Moderate,Maintain,30.44,2530,Balanced,Moderate
26,179,56,Male,Active,Fat Loss,17.48,2452,Low Carb,Light
32,169,81,Female,Sedentary,Maintain,28.36,1854,Balanced,Moderate
44,150,100,Male,Active,Maintain,44.44,3272,Balanced,Moderate
40,157,75,Female,Moderate,Maintain,30.43,2123,Balanced,Moderate
26,180,85,Female,Moderate,Fat Loss,26.23,2110,Low Carb,Intense
33,163,60,Female,Moderate,Maintain,22.58,2003,Balanced,Moderate
28,185,60,Male,Moderate,Maintain,17.53,2512,Balanced,Light
24,171,98,Female,Moderate,Fat Loss,33.51,2240,Low Carb,Intense
44,181,90,Male,Moderate,Muscle Gain,27.47,3115,High Protein,Moderate
46,167,84,Male,Moderate,Maintain,30.12,2571,Balanced,Moderate
35,151,63,Male,Sedentary,Fat Loss,27.63,1184,Low Carb,Intense
38,152,51,Female,Active,Muscle Gain,22.07,2407,High Protein,Moderate
23,154,87,Female,Moderate,Fat Loss,36.68,1912,Low Carb,Intense
44,174,65,Male,Sedentary,Maintain,21.47,1827,Balanced,Moderate
45,164,74,Male,Sedentary,Muscle Gain,27.51,2154,High Protein,Moderate
28,178,86,Female,Sedentary,Muscle Gain,27.14,2305,High Protein,Moderate
20,150,82,Female,Active,Muscle Gain,36.44,3143,High Protein,Moderate
21,151,100,Female,Sedentary,Fat Loss,43.86,1513,Low Carb,Intense
39,164,55,Male,Sedentary,Muscle Gain,20.45,1962,High Protein,Moderate
37,184,79,Male,Active,Maintain,23.33,3344,Balanced,Moderate
20,165,60,Female,Sedentary,Maintain,22.04,1644,Balanced,Moderate
31,178,55,Male,Sedentary,Maintain,17.36,1815,Balanced,Light
48,158,54,Female,Sedentary,Muscle Gain,21.63,1651,High Protein,Moderate
23,165,89,Female,Sedentary,Muscle Gain,32.69,2274,High Protein,Moderate
35,180,108,Female,Sedentary,Maintain,33.33,2242,Balanced,Moderate
35,176,82,Female,Sedentary,Maintain,26.47,1900,Balanced,Moderate
18,162,99,Female,Active,Maintain,37.72,3327,Balanced,Moderate
45,181,82,Male,Moderate,Maintain,25.03,2683,Balanced,Moderate
18,174,55,Male,Active,Maintain,18.17,2949,Balanced,Moderate
28,185,54,Female,Sedentary,Maintain,15.78,1674,Balanced,Light
46,167,49,Male,Sedentary,Muscle Gain,17.57,1870,High Protein,Light
50,174,63,Male,Active,Maintain,20.81,2797,Balanced,Moderate
37,170,68,Female,Sedentary,Muscle Gain,23.53,1975,High Protein,Moderate
39,185,69,Female,Moderate,Maintain,20.16,2309,Balanced,Moderate
41,180,100,Male,Sedentary,Maintain,30.86,2310,Balanced,Moderate
24,155,91,Male,Active,Muscle Gain,37.88,3651,High Protein,Moderate
25,163,94,Male,Moderate,Fat Loss,35.38,2350,Low Carb,Intense
39,160,79,Female,Moderate,Muscle Gain,30.86,2522,High Protein,Moderate
44,155,94,Female,Moderate,Fat Loss,39.13,1868,Low Carb,Intense
49,180,85,Female,Sedentary,Maintain,26.23,1882,Balanced,Moderate
46,150,76,Male,Moderate,Maintain,33.78,2282,Balanced,Moderate
35,189,61,Male,Active,Fat Loss,17.08,2580,Low Carb,Light
32,178,56,Female,Active,Fat Loss,17.67,2067,Low Carb,Light
21,150,46,Male,Sedentary,Muscle Gain,20.44,1857,High Protein,Moderate
43,154,105,Female,Sedentary,Fat Loss,44.27,1463,Low Carb,Intense
43,163,47,Female,Sedentary,Maintain,17.69,1335,Balanced,Light
21,182,100,Female,Sedentary,Muscle Gain,30.19,2545,High Protein,Moderate
32,156,94,Female,Moderate,Maintain,38.63,2470,Balanced,Moderate
28,178,67,Female,Active,Fat Loss,21.15,2314,Low Carb,Moderate
24,155,69,Female,Moderate,Muscle Gain,28.72,2435,High Protein,Moderate
24,151,104,Female,Moderate,Muscle Gain,45.61,2939,High Protein,Moderate
19,183,68,Male,Moderate,Fat Loss,20.31,2187,Low Carb,Moderate
39,177,56,Female,Moderate,Fat Loss,17.87,1530,Low Carb,Light
26,157,88,Female,Moderate,Muscle Gain,35.7,2733,High Protein,Moderate
19,177,103,Female,Moderate,Maintain,32.88,2914,Balanced,Moderate
46,155,83,Male,Sedentary,Fat Loss,34.55,1388,Low Carb,Intense
50,168,105,Female,Sedentary,Fat Loss,37.2,1526,Low Carb,Intense
32,150,66,Male,Moderate,Maintain,29.33,2235,Balanced,Moderate
39,180,88,Male,Active,Fat Loss,27.16,2948,Low Carb,Intense
20,158,49,Male,Active,Maintain,19.63,2626,Balanced,Moderate
35,172,81,Female,Moderate,Maintain,27.38,2400,Balanced,Moderate
33,173,88,Male,Sedentary,Muscle Gain,29.4,2461,High Protein,Moderate
35,165,95,Male,Active,Maintain,34.89,3441,Balanced,Moderate
48,151,62,Male,Moderate,Fat Loss,27.19,1559,Low Carb,Intense
26,169,71,Female,Active,Maintain,24.86,2802,Balanced,Moderate
33,171,50,Male,Sedentary,Muscle Gain,17.1,1990,High Protein,Light
31,175,89,Female,Moderate,Maintain,29.06,2585,Balanced,Moderate
23,168,86,Female,Moderate,Maintain,30.47,2532,Balanced,Moderate
31,163,69,Female,Moderate,Fat Loss,25.97,1658,Low Carb,Intense
48,151,73,Female,Active,Muscle Gain,32.02,2718,High Protein,Moderate
27,176,72,Male,Sedentary,Muscle Gain,23.24,2328,High Protein,Moderate
38,186,105,Female,Moderate,Maintain,30.35,2885,Balanced,Moderate
43,185,69,Female,Sedentary,Muscle Gain,20.16,2064,High Protein,Moderate
19,175,76,Female,Active,Muscle Gain,24.82,3335,High Protein,Moderate
23,154,72,Male,Moderate,Maintain,30.36,2437,Balanced,Moderate
27,175,85,Female,Moderate,Fat Loss,27.76,2054,Low Carb,Intense
46,160,84,Male,Active,Maintain,32.81,3068,Balanced,Moderate
19,172,107,Male,Moderate,Fat Loss,36.17,2685,Low Carb,Intense
45,170,54,Male,Active,Muscle Gain,18.69,2926,High Protein,Moderate
30,154,63,Female,Sedentary,Maintain,26.56,1537,Balanced,Moderate
21,170,99,Female,Moderate,Maintain,34.26,2769,Balanced,Moderate
43,180,68,Male,Sedentary,Muscle Gain,20.99,2214,High Protein,Moderate
24,167,62,Female,Active,Fat Loss,22.23,2127,Low Carb,Moderate
41,172,53,Male,Sedentary,Maintain,17.92,1686,Balanced,Light
26,183,81,Male,Active,Maintain,24.19,3474,Balanced,Moderate
18,157,58,Male,Moderate,Maintain,23.53,2288,Balanced,Moderate
25,173,51,Female,Sedentary,Maintain,17.04,1566,Balanced,Light
39,171,64,Female,Moderate,Maintain,21.89,2096,Balanced,Moderate
37,179,80,Female,Active,Maintain,24.97,2988,Balanced,Moderate
31,151,102,Male,Moderate,Muscle Gain,44.73,3111,High Protein,Moderate
34,161,59,Male,Active,Fat Loss,22.76,2219,Low Carb,Moderate
21,168,99,Female,Sedentary,Muscle Gain,35.08,2428,High Protein,Moderate
28,171,68,Male,Moderate,Fat Loss,23.26,2001,Low Carb,Moderate
